rec_id,role,name
118,asbestos,chrysotile
118,associated,serpentine
119,asbestos,chrysotile
119,asbestos,tremolite
119,associated,"magnesian silicate minerals"
119,associated,calcite
119,associated,dolomite
119,associated,serpentine(?)
119,associated,talc
120,associated,serpentine
121,asbestos,chrysotile
121,associated,serpentine
122,asbestos,chrysotile
122,associated,serpentine
123,asbestos,chrysotile
123,associated,serpentine
124,asbestos,chrysotile
124,associated,serpentine
125,asbestos,chrysotile
125,associated,lizardite
125,associated,calcite
125,associated,cinnabar
126,asbestos,chrysotile
127,asbestos,chrysotile
127,associated,serpentine
128,asbestos,chrysotile
128,associated,serpentine
129,asbestos,chrysotile
129,associated,lizardite
130,asbestos,chrysotile
130,associated,lizardite
135,asbestos,chrysotile
135,associated,lizardite
138,asbestos,chrysotile
138,associated,antigorite
138,associated,magnesite
138,associated,opal
139,asbestos,chrysotile
139,asbestos,tremolite
139,associated,chlorite
139,associated,serpentine
140,associated,serpentine
140,associated,chlorite
140,associated,talc
140,associated,albite
140,associated,muscovite
141,associated,actinolite
141,associated,talc
142,associated,"spessartite garnet"
142,associated,psilomelane
144,associated,quartz
147,asbestos,chrysotile
147,associated,lizardite
147,associated,antigorite
148,asbestos,chrysotile
148,associated,lizardite
148,associated,antigorite
150,asbestos,chrysotile
150,asbestos,tremolite
150,associated,"serpentine; long"
150,associated,"fibrous nephrite; white"
150,associated,"fibrous tremolite"
151,asbestos,crocidolite
152,asbestos,chrysotile
153,asbestos,chrysotile
153,asbestos,tremolite
153,associated,serpentine
154,asbestos,chrysotile
154,associated,bastite
154,associated,picrite
154,associated,chromite
154,associated,magnetite
155,asbestos,crocidolite
155,associated,jadeite
155,associated,nephrite
156,asbestos,chrysotile
156,associated,serpentine
156,associated,magnetite
156,associated,anthophyllite
157,asbestos,chrysotile
157,associated,serpentine
157,associated,magnetite
157,associated,anthophyllite
158,asbestos,chrysotile
158,associated,serpentine
159,asbestos,chrysotile
159,associated,serpentine
160,asbestos,chrysotile
160,associated,serpentine
161,asbestos,chrysotile
161,associated,serpentine
162,asbestos,chrysotile
163,asbestos,chrysotile
163,associated,serpentine
164,asbestos,chrysotile
165,asbestos,chrysotile
165,associated,serpentine
169,associated,serpentine
170,associated,serpentine
171,associated,serpentine
172,asbestos,tremolite
173,asbestos,tremolite
173,associated,serpentine
174,asbestos,chrysotile
174,asbestos,tremolite
174,associated,serpentine
175,asbestos,chrysotile
175,associated,serpentine
176,asbestos,chrysotile
176,associated,olivine
176,associated,clinopyroxene
176,associated,"serpentine minerals"
176,associated,magnetite
176,associated,chromite
179,asbestos,anthophyllite
179,associated,antigorite
179,associated,talc
179,associated,chlorite
182,associated,serpentine
185,asbestos,tremolite
185,associated,actinolite
185,associated,quartz
185,associated,calcite
185,associated,epidote
186,asbestos,chrysotile
186,associated,magnesite
186,associated,magnetite
186,associated,chlorite
186,associated,actinolite
186,associated,talc
186,associated,olivine
187,asbestos,tremolite
187,associated,actinolite
187,associated,biotite
187,associated,chlorite
188,asbestos,chrysotile
188,associated,serpentine
189,asbestos,chrysotile
189,associated,antigorite
189,associated,brucite
189,associated,lizardite
189,associated,magnetite
190,asbestos,chrysotile
190,associated,serpentine
191,asbestos,chrysotile
191,asbestos,clinochrysotile
191,associated,antigorite
191,associated,jadeite
191,associated,garnet
192,asbestos,chrysotile
193,asbestos,actinolite
194,associated,serpentine
194,associated,sulfides
194,associated,"iron oxides"
195,asbestos,chrysotile
195,associated,serpentine
196,asbestos,crocidolite
197,asbestos,chrysotile
197,associated,pyroxene
197,associated,amphibole
197,associated,chlorite
197,associated,biotite
197,associated,vermiculite
197,associated,magnesite
199,asbestos,chrysotile
199,associated,lizardite
199,associated,antigorite
199,associated,chlorite
200,asbestos,chrysotile
200,associated,lizardite
200,associated,enstatite
200,associated,olivine
200,associated,pyroaurite
200,associated,montmorillonite
201,asbestos,chrysotile
201,associated,lizardite
201,associated,chlorite
201,associated,enstatite
201,associated,pyroaurite
201,associated,montmorillonite
202,asbestos,chrysotile
202,asbestos,clinochrysotile
202,associated,lizardite
203,asbestos,chrysotile
203,associated,antigorite
203,associated,magnetite
203,associated,magnesite
204,asbestos,chrysotile
204,associated,serpentine
205,associated,chromite
205,associated,serpentine
206,asbestos,chrysotile
207,asbestos,chrysotile
207,associated,serpentine
209,asbestos,anthophyllite
209,associated,serpentine
212,asbestos,chrysotile
212,associated,antigorite
212,associated,lizardite
212,associated,brucite
212,associated,tremolite
212,associated,chlorite
212,associated,talc
212,associated,magnetite
212,associated,millerite
212,associated,chromite
212,associated,pentlandite
212,associated,awaruite
213,asbestos,chrysotile
213,associated,"ankeritic carbonate"
213,associated,talc
213,associated,quartz
213,associated,pyrite
214,associated,quartz
214,associated,talc
215,associated,serpentine
216,associated,serpentine
217,asbestos,chrysotile
218,asbestos,chrysotile
219,asbestos,chrysotile
219,associated,serpentine
220,asbestos,chrysotile
220,associated,serpentine
221,asbestos,chrysotile
222,asbestos,chrysotile
223,asbestos,chrysotile
223,associated,serpentine
224,asbestos,chrysotile
225,asbestos,chrysotile
225,associated,serpentine
226,asbestos,chrysotile
227,asbestos,chrysotile
228,asbestos,chrysotile
229,asbestos,chrysotile
229,associated,serpentine
230,asbestos,chrysotile
231,asbestos,chrysotile
231,associated,serpentine
232,asbestos,chrysotile
233,asbestos,chrysotile
235,asbestos,chrysotile
236,asbestos,chrysotile
236,associated,serpentine
236,associated,magnetite
236,associated,chalcedony
237,asbestos,chrysotile
238,asbestos,chrysotile
240,asbestos,chrysotile
241,asbestos,chrysotile
242,asbestos,chrysotile
242,associated,serpentine
242,associated,talc
243,asbestos,chrysotile
245,asbestos,tremolite
245,asbestos,actinolite
246,asbestos,chrysotile
247,asbestos,chrysotile
249,asbestos,amosite
251,asbestos,chrysotile
252,asbestos,crocidolite
253,asbestos,chrysotile
253,associated,serpentine
254,associated,serpentine
256,asbestos,chrysotile
256,asbestos,anthophyllite
256,associated,serpentine
258,asbestos,chrysotile
260,asbestos,chrysotile
260,associated,serpentine
261,asbestos,chrysotile
267,asbestos,tremolite
267,associated,serpentine
271,asbestos,chrysotile
271,associated,serpentine
272,asbestos,chrysotile
272,associated,serpentine
273,asbestos,chrysotile
274,asbestos,chrysotile
274,associated,serpentine
275,associated,serpentine
276,associated,serpentine
276,associated,magnesite
277,asbestos,chrysotile
277,associated,serpentine
278,asbestos,chrysotile
278,associated,antigorite
279,asbestos,chrysotile
282,associated,serpentine
284,associated,serpentine
285,associated,serpentine
287,asbestos,chrysotile
287,associated,serpentine
287,associated,"dolomitic calcite"
287,associated,quartz
288,asbestos,chrysotile
288,asbestos,clinochrysotile
288,associated,serpentine
288,associated,quartz
289,associated,quartz
289,associated,calcite
289,associated,adularia
289,associated,"free gold"
289,associated,pyrite
289,associated,biotite
289,associated,chlorite
289,associated,sericite
289,associated,apatite
290,asbestos,chrysotile
291,asbestos,chrysotile
291,associated,serpentine
