rec_id,citation,ref_id
93,"Southern Pacific Company (1987b, p. 20)",169
94,"Southern Pacific Company (1987b, p. 20)",169
95,"Southern Pacific Company (1987b, p. 20)",169
96,"Southern Pacific Company (1987b, p. 20)",169
97,"Southern Pacific Company (1987b, p. 20)",169
98,"Southern Pacific Company (1987b, p. 20)",169
99,"Southern Pacific Company (1987b, p. 20)",169
100,"Southern Pacific Company (1987b, p. 20)",169
101,"Southern Pacific Company (1987b, p. 20)",169
102,"Southern Pacific Company (1987b, p. 20)",169
103,"Southern Pacific Company (1987b, p. 20)",169
104,"Southern Pacific Company (1987b, p. 20)",169
105,"Southern Pacific Company (1987b, p. 20)",169
106,"Southern Pacific Company (1987b, p. 20)",169
107,"Southern Pacific Company (1987b, p. 20)",169
108,"Southern Pacific Company (1987b, p. 20)",169
109,"Southern Pacific Company (1987b, p. 20)",169
110,"Southern Pacific Company (1987b, p. 20)",169
111,"Southern Pacific Company (1987b, p. 20)",169
112,"Southern Pacific Company (1987b, p. 20)",169
113,"Barnes and others (1973, p. 6)",54
114,"Barnes and others (1973, p. 6)",54
115,"Morton (1977, p. 80)",139
115,"Pemberton (1983, p. 422)",156
116,"Hall and MacKevett (1962, p. 77-78)",104
116,"Pemberton (1983, p. 422)",156
117,"Norman and Stewart (1951, p. 98, 203, plate 1)",143
117,"Bowles (1955, p. 25)",5
117,"Chidester and Shride (1962, p. 4)",73
118,"Bowles (1955, p. 21)",5
118,"Rice (1957, p. 54)",159
118,"Fife (1980, 1984)",97
118,"Anonymous (2011d)",35
119,"Norman and Stewart (1951, p. 98, 203)",143
119,"McAllister (1952, p. 35-36)",134
120,"Tucker (1929, p. 63)",171
120,"Tucker and others (1949, p. 276)",175
121,"Brown (1915, p. 476)",61
121,"Troxel and Morton (1962, p. 59-60)",170
122,"Southern Pacific Company (1987b, p. 19-20)",169
123,"Southern Pacific Company (1987b, p. 19-20)",169
124,"Southern Pacific Company (1987b, p. 19-20)",169
125,"Barnes and others (1973, p. 8)",54
126,"Brice (1953, p. 60-61)",60
127,"Averill (1947a, p. 17)",49
127,"Brice (1953, p. 60, plate 2)",60
127,"Rice (1957, p. 53)",159
127,"Wiebelt and Smith (1959, p. 15-16)",181
128,"Brice (1953, p. 60)",60
129,"Barnes and others (1973, p. 9)",54
130,"Barnes and others (1973, p. 7)",54
131,"McNitt (1968)",135
132,"McNitt (1968)",135
133,"McNitt (1968)",135
134,"McNitt (1968)",135
135,"Barnes and others (1973, p. 9)",54
136,"McNitt (1968)",135
137,"McNitt (1968)",135
138,"Bailey (1941, p. 56, 75)",52
139,"Gay and Hoffman (1954, p. 505, 650)",100
139,"Oakeshott (1958, p. 110)",144
140,"Gay and Hoffman (1954, p. 561-562)",100
141,"Sharp (1959, p. 59, 94)",165
142,"Sharp (1959, p. 70-71, 96)",165
143,"Sharp (1959, p. 62, 95)",165
144,"Logan (1950, p. 450)",126
145,"Logan (1950, p. 450)",126
146,"Logan (1950, p. 450)",126
147,"Schlocker (1974, p. 58-61)",163
148,"Schlocker (1974, p. 58-61)",163
149,"Bailey and Harden (1975)",53
150,"Chesterman (1976b, p. 22)",72
151,"Pelletier (1962, p. 5)",155
152,"Pelletier (1962, p. 11)",155
153,"Bowen and Gray (1957, p. 202-203)",58
153,"Evans and Bowen (1977)",93
154,"Chesterman (1976a, p. 36)",71
155,"Anonymous (1950, p. 2)",31
155,"Murdoch and Webb (1966, p. 70)",142
156,"Chesterman (1975)",70
157,"Chesterman (1975)",70
158,"Hart (1966, p. 26-27)",106
158,"Page (1967)",152
158,"Coleman and Keith (1971)",78
159,"Hart (1966, p. 26-27)",106
160,"Southern Pacific Company (1987b, p. 19-20)",169
161,"Hart (1966, p. 26)",106
162,"Southern Pacific Company (1987b, p. 20)",169
163,"Davis (1948, p. 163)",86
163,"Wiebelt and Smith (1959, p. 16-19)",181
163,"Rice (1963, p. 6)",160
164,"Logan (1941, p. 378)",123
165,"Rice (1957, p. 53)",159
165,"Wiebelt and Smith (1959, p. 19-22)",181
165,"Woodmansee (1973, p. 138)",184
165,"Southern Pacific Company (1987a, p. 65)",168
165,"Anonymous (2011c, 2011i)",34
166,"Aubury (1906, p. 262)",44
167,"Aubury (1906, p. 262)",44
168,"Aubury (1906, p. 262)",44
169,"Aubury (1906, p. 262)",44
169,"Chandra (1961, p. 48-49)",67
170,"Chandra (1961, p. 48-49)",67
171,"Chandra (1961, p. 48-49)",67
172,"Rice (1957, p. 54)",159
