Site_ID|Name|WGS84_Lat|WGS84_Lon|Commod_gp|Src_Rec_No|Record_tp|Country|State|Ref_no
8664|Tweefontein|-24.90|30.08|Pt, Ni, Cu|1085|Mine, Abandoned|South Africa||28
8681|Northam|-24.82|27.34|Pt, Ni, Cu, Au|1102|Mine, Continuously Producing|South Africa||28
8685|Nooitgedacht (Swartklip)|-24.92|27.14|Cr|1106|Deposit, Never Exploited|South Africa||28
8704|Thorncliffe|-24.97|30.12|Cr|1126|Mine, Continuously Producing|South Africa||28
8705|Union|-24.97|27.14|Pt, Ni, Cu, Cr|1127|Mine, Continuously Producing|South Africa||28
8715||-25.00|29.26|Ni|1137|Occurrence|South Africa||28
8732||-25.06|26.32|Ni, Pt, Au, Cu, Co|1157|Occurrence|South Africa||28
8739||-25.09|27.00|Ni, Cu|1164|Occurrence|South Africa||28
8740||-25.09|26.91|Ni, Cu|1165|Occurrence|South Africa||28
8743|Zwartkop|-25.09|29.92|Cu, Pt, Ni, Au|1168|Deposit, Never Exploited|South Africa||28
8744|Nietverdiend|-25.09|26.26|Cr|1169|Mine, Continuously Producing|South Africa||28
8757||-25.12|26.93|Cu, Ni|1185|Occurrence|South Africa||28
8759||-25.12|29.93|Cu, Pt, Ni, Au|1187|Occurrence|South Africa||28
8766||-25.14|26.32|Cu, Ni, Pt, Au|1194|Occurrence|South Africa||28
8778||-25.17|26.86|Ni, Cu|1206|Occurrence|South Africa||28
8787||-25.21|26.87|Ni, Cu|1215|Occurrence|South Africa||28
8812||-25.26|29.57|Pt, Ni, Cu|1240|Occurrence|South Africa||28
8815|Blaauwbank|-25.26|29.61|Pt, Ni, Cu|1243|Mine, Abandoned|South Africa||28
8823||-25.27|26.91|Ni, Cu|1251|Occurrence|South Africa||28
8833||-25.29|26.88|Ni, Cu|1261|Mine, Intermittently Producing|South Africa||28
8841||-25.31|29.37|Ni, Cu, Pt, Cr|1269|Occurrence|South Africa||28
8842||-25.31|29.59|Cu, Pd, Zn, Ag, Au|1270|Deposit, Never Exploited|South Africa||28
8881|Laagersdrift|-25.36|29.41|Ni, Cu, Pt, Cr|1312|Deposit, Never Exploited|South Africa||28
8902||-25.41|28.99|Mo, Co, Ni, As|1334|Mine, Abandoned|South Africa||28
9010||-25.61|28.03|Ni, Cu|1445|Occurrence|South Africa||28
9043|Bon Accord (Nickel Sulphide)|-25.66|31.17|Ni, Cu|1478|Deposit, Never Exploited|South Africa||28
9056|Rustenburg Platinum|-25.68|27.32|Pt, Ni, Cu, Co|1491|Mine, Continuously Producing|South Africa||28
9080|Nkomati|-25.72|30.59|Ni, Cu, Co, Pt, Pd|1517|Mine, Continuously Producing|South Africa||28
9082|Elandsdrift|-25.73|27.52|Cr|1520|Mine, Continuously Producing|South Africa||28
9212||-25.91|28.61|Pd, Zn|1659|Occurrence|South Africa||28
9270||-26.01|30.79|Cu, Ni|1723|Occurrence|South Africa||28
9271|Argent (Dwarsfontein)|-26.01|28.75|Cu, Ni, Pt, Au|1724|Deposit, Never Exploited|South Africa||28
9285|Golden Valley|-26.03|27.51|Ni, Cu|1740|Deposit, Never Exploited|South Africa||28
