Reference,Region,Study design,Fauna,Interaction,Vegetation response,Mean value at High Fauna,SD at High Fauna,High Fauna N,Mean value at Low Fauna,SD at Low Fauna,Low Fauna N
"Cramer, J.M., Mesquita, R.C.G., Bentos, T.V., Moser, B., Williamson, G.B., 2007. )Forest fragmentation reduces seed dispersal of Duckeodendron cestroides, a Central Amazon endemic. Biotropica 39: 709-718",Neotropics,Observed,Multiple,Seed dispersal,Species dispersion,2.41,1.98,6,0.55,1.08,5
"Dexter, N., Hudson, M., James, S., MacGregor, C. & Lindenmayer, D.B. (2013))Unintended consequences of invasive predator control in an Australian forest: overabundant wallabies and vegetation change. PLoS ONE 8, e69087.",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Species density,7.6,8.91,18,9.7,11.03,18
"Dexter, N., Hudson, M., James, S., MacGregor, C. & Lindenmayer, D.B. (2013))Unintended consequences of invasive predator control in an Australian forest: overabundant wallabies and vegetation change. PLoS ONE 8, e69087.",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Species density,0.76,2.21,18,4.64,6.75,18
"Dexter, N., Hudson, M., James, S., MacGregor, C. & Lindenmayer, D.B. (2013))Unintended consequences of invasive predator control in an Australian forest: overabundant wallabies and vegetation change. PLoS ONE 8, e69087.",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Species density,2.68,3.78,18,4.36,7.09,18
"Dexter, N., Hudson, M., James, S., MacGregor, C. & Lindenmayer, D.B. (2013))Unintended consequences of invasive predator control in an Australian forest: overabundant wallabies and vegetation change. PLoS ONE 8, e69087.",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Species density,5.19,3.9,18,6.11,5.39,18
"Effiom, E.O., Nunez-Iturri, G., Smith, H.G., Ottosson, U., and Olsson, O. (2013). Bushmeat hunting changes regeneration of African rainforests. Proceedings of the Royal Society B-Biological Sciences 280.",Africa,Observed,Multiple,Seed dispersal,Community density,3.13,0.56,3,1.3,0.25,3
"Effiom, E.O., Nunez-Iturri, G., Smith, H.G., Ottosson, U., and Olsson, O. (2013). Bushmeat hunting changes regeneration of African rainforests. Proceedings of the Royal Society B-Biological Sciences 280.",Africa,Observed,Multiple,Seed dispersal,Community density,1.22,0.23,3,2.24,0.42,3
"Effiom, E.O., Nunez-Iturri, G., Smith, H.G., Ottosson, U., and Olsson, O. (2013). Bushmeat hunting changes regeneration of African rainforests. Proceedings of the Royal Society B-Biological Sciences 280.",Africa,Observed,Multiple,Seed dispersal,Community density,0.51,0.11,3,2.39,0.44,3
"Effiom, E.O., Nunez-Iturri, G., Smith, H.G., Ottosson, U., and Olsson, O. (2013). Bushmeat hunting changes regeneration of African rainforests. Proceedings of the Royal Society B-Biological Sciences 280.",Africa,Observed,Multiple,Seed dispersal,Community density,7.26,1.22,3,2.88,0.62,3
"Effiom, E.O., Nunez-Iturri, G., Smith, H.G., Ottosson, U., and Olsson, O. (2013). Bushmeat hunting changes regeneration of African rainforests. Proceedings of the Royal Society B-Biological Sciences 280.",Africa,Observed,Multiple,Seed dispersal,Community density,1.08,0.33,3,4.65,0.86,3
"Effiom, E.O., Nunez-Iturri, G., Smith, H.G., Ottosson, U., and Olsson, O. (2013). Bushmeat hunting changes regeneration of African rainforests. Proceedings of the Royal Society B-Biological Sciences 280.",Africa,Observed,Multiple,Seed dispersal,Community density,0.69,0.24,3,9.28,1.51,3
"Feeley, K.J., and Terborgh, J.W. (2005). The effects of herbivore density on soil nutrients and tree growth in tropical forest fragments. Ecology 86, 116-124.",Neotropics,Observed,Primates,Herbivory,Biomass ,0.215,0.07,4,0.017,0.08,5
"Foster, C.N., Barton, P.S., Sato, C.F., Wood, J.T., MacGregor, C.I., and Lindenmayer, D.B. (2016). Herbivory and fire interact to affect forest understory habitat, but not its use by small vertebrates. Animal Conservation 19, 15-25.",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Vegetation cover,27.6,10.8,4,31.9,10.1,4
"Foster, C.N., Barton, P.S., Sato, C.F., Wood, J.T., MacGregor, C.I., and Lindenmayer, D.B. (2016). Herbivory and fire interact to affect forest understory habitat, but not its use by small vertebrates. Animal Conservation 19, 15-25.",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Vegetation cover,20.9,10.6,4,31.9,10.3,4
"Ganzhorn, J.U., Fietz, J., Rakotovao, E., Schwab, D., and Zinner, D. (1999). Lemurs and the regeneration of dry deciduous forest in Madagascar. Conservation Biology 13, 794-804.",Africa,Observed,Primates,Seed dispersal,Community density,171,42.71,8,99.2,19.84,7
