Reference,Region,Study design,Fauna,Interaction,Vegetation response,Mean value at High Fauna,SD at High Fauna,High Fauna N,Mean value at Low Fauna,SD at Low Fauna,Low Fauna N
"Stevenson, P.R. (2011). The Abundance of Large Ateline Monkeys is Positively Associated with the Diversity of Plants Regenerating in Neotropical Forests. Biotropica 43, 512-519.",Neotropics,Observed,Primates,Seed dispersal,Community richness,14.53,3.45,8,11.99,3.91,8
"Stevenson, P.R., and Aldana, A.M. (2008). Potential effects of ateline extinction and forest fragmentation on plant diversity and composition in the western orinoco basin, colombia. International Journal of Primatology 29, 365-377.",Neotropics,Observed,Primates,Seed dispersal,Community richness,0.57,0.05,7,0.41,0.07,2
"Stevenson, P.R., and Aldana, A.M. (2008). Potential effects of ateline extinction and forest fragmentation on plant diversity and composition in the western orinoco basin, colombia. International Journal of Primatology 29, 365-377.",Neotropics,Observed,Primates,Seed dispersal,Community richness,0.8,0.06,7,0.75,0.14,2
"Stevenson, P.R., and Aldana, A.M. (2008). Potential effects of ateline extinction and forest fragmentation on plant diversity and composition in the western orinoco basin, colombia. International Journal of Primatology 29, 365-377.",Neotropics,Observed,Primates,Seed dispersal,Community density,267,136,7,89,38,2
"Stevenson, P.R., and Aldana, A.M. (2008). Potential effects of ateline extinction and forest fragmentation on plant diversity and composition in the western orinoco basin, colombia. International Journal of Primatology 29, 365-377.",Neotropics,Observed,Primates,Seed dispersal,Community density,393,210,7,564,127,2
"Stevenson, P.R., and Aldana, A.M. (2008). Potential effects of ateline extinction and forest fragmentation on plant diversity and composition in the western orinoco basin, colombia. International Journal of Primatology 29, 365-377.",Neotropics,Observed,Primates,Seed dispersal,Community density,216,54,7,331,108,2
"Terborgh, J., Davenport, L.C., Niangadouma, R., Dimoto, E., Mouandza, J.C., Scholtz, O., and Jaen, M.R. (2016). Megafaunal influences on tree recruitment in African equatorial forests. Ecography 39, 180-186.",Africa,Observed,Elephant,Multiple,Community density,10.6,7.1,5,61.93333333,26.48,5
"Terborgh, J., Davenport, L.C., Niangadouma, R., Dimoto, E., Mouandza, J.C., Scholtz, O., and Jaen, M.R. (2016). Megafaunal influences on tree recruitment in African equatorial forests. Ecography 39, 180-186.",Africa,Observed,Elephant,Multiple,Community density,29.4,7.5,5,42.7,10.03,5
"Terborgh, J., Davenport, L.C., Niangadouma, R., Dimoto, E., Mouandza, J.C., Scholtz, O., and Jaen, M.R. (2016). Megafaunal influences on tree recruitment in African equatorial forests. Ecography 39, 180-186.",Africa,Observed,Elephant,Multiple,Community density,20.56,7.21,5,40.04666667,4.65,5
"Terborgh, J., Davenport, L.C., Niangadouma, R., Dimoto, E., Mouandza, J.C., Scholtz, O., and Jaen, M.R. (2016). Megafaunal influences on tree recruitment in African equatorial forests. Ecography 39, 180-186.",Africa,Observed,Elephant,Multiple,Community density,17.46,5.37,5,35.73333333,4.63,5
"Terborgh, J., Feeley, K., Silman, M., Nunez, P., Balukjian, B. (2006) Vegetation dynamics of predator-free land-bridge islands. Journal of Ecology  94: 253-263",Neotropics,Observed,Multiple,Herbivory,Community density,6.47,4.28,4,10.965,6.25,6
"Terborgh, J., Wright, S.J. (1994) Effects of mammalian herbivores on plant recruitment in two Neotropical forests. Ecology 75, 1829-1833",Neotropics,Manipulated,Multiple,Multiple,Community density,38.3,9.19,2,44.75,7.85,2
"Terborgh, J., Wright, S.J. (1994) Effects of mammalian herbivores on plant recruitment in two Neotropical forests. Ecology 75, 1829-1833",Neotropics,Manipulated,Multiple,Multiple,Community density,29.3,11.88,2,41.2,13.08,2
"Theimer, T.C., Gehring, C.A., Green, P.T., and Connell, J.H. (2011) Terrestrial vertebrates alter seedling composition and richness but not diversity in an Australian tropical rain forest. Ecology 92, 1637-1647.",Australasia and Oceania,Manipulated,Multiple,Non-specific,Community density,8.6,4.86,14,14,10.1,14
"Theimer, T.C., Gehring, C.A., Green, P.T., and Connell, J.H. (2011) Terrestrial vertebrates alter seedling composition and richness but not diversity in an Australian tropical rain forest. Ecology 92, 1637-1647.",Australasia and Oceania,Manipulated,Multiple,Non-specific,Community richness,13,3.74,14,13.9,4.49,14
"Vanthomme, H., Belle, B., and Forget, P.M. (2010) Bushmeat Hunting Alters Recruitment of Large-seeded Plant Species in Central Africa. Biotropica 42, 672-679.",Africa,Observed,Multiple,Non-specific,Community density,2.2,0.78,7,3.84,1.39,4
"Zambrano, V.A.B., Moncada, J.Z., and Stevenson, P.R. (2008) Diversity of regenerating plants and seed dispersal in two canopy trees from Colombian Amazon forests with different hunting pressure. Revista De Biologia Tropical 56, 1531-1542.",Neotropics,Observed,Primates,Multiple,Community richness,0.65,0.03,2,0.49,0.03,2
"Zambrano, V.A.B., Moncada, J.Z., and Stevenson, P.R. (2008) Diversity of regenerating plants and seed dispersal in two canopy trees from Colombian Amazon forests with different hunting pressure. Revista De Biologia Tropical 56, 1531-1542.",Neotropics,Observed,Primates,Multiple,Community richness,0.9,0.03,2,0.85,0.03,2
