Sb,34
Ba,41
Be,318
Li,118
Nb,59
Ta,59
Sn,113
Ti,121
Ga,452
Co,212
Ru,153
Rh,153
Pt,153
Pd,153
Ir,153
Os,153
Mn,38
F,106
Ge,23
In,28
Ce,52
Dy,52
Er,52
Eu,52
Gd,52
Ho,52
La,52
Lu,52
Nd,52
Pr,52
Pm,52
Sm,52
Sc,52
Tb,52
Tm,52
Yb,52
Y,52
Te,68
Re,101
Zr,27
Hf,27
V,81
