stationname,latdeg,latmin,londeg,lonmin,elevation,observedgravity,freeairanomaly,simplebougaranomaly,innerterraincorrection,totalterraincorrection,correctionextent,completebougaranomaly,isostaticresidualanomaly
276,36,34.12,121,10.68,1445.0,979724.60,-6.87,-56.16,0.00,1.90,,-54.83,-29.57
277,36,34.14,121,10.59,1468.0,979722.54,-6.79,-56.86,0.00,1.89,,-55.56,-30.25
278,36,34.16,121,10.49,1450.0,979723.33,-7.73,-57.18,0.00,1.97,,-55.79,-30.41
279,36,34.18,121,10.41,1350.0,979729.95,-10.54,-56.59,0.00,2.01,,-55.12,-29.66
280,36,34.19,121,10.33,1295.0,979735.11,-10.57,-54.74,0.00,2.23,,-53.03,-27.50
281,36,34.22,121,10.25,1224.0,979736.24,-16.16,-57.90,0.00,2.52,,-55.88,-30.27
282,36,34.24,121,10.15,1179.0,979739.85,-16.81,-57.02,0.00,2.87,,-54.63,-28.95
283,36,34.25,121,10.07,1156.0,979741.14,-17.70,-57.13,0.00,2.83,,-54.77,-29.03
284,36,34.27,121,9.99,1076.0,979746.05,-20.34,-57.04,0.00,3.53,,-53.95,-28.13
285,36,34.29,121,9.90,1077.0,979745.78,-20.54,-57.28,0.00,3.65,,-54.07,-28.19
286,36,34.31,121,9.81,1091.0,979745.24,-19.80,-57.01,0.00,3.36,,-54.10,-28.16
287,36,34.33,121,9.73,1118.0,979743.02,-19.50,-57.63,0.00,3.10,,-54.99,-29.00
288,36,34.34,121,9.64,1124.0,979740.96,-21.01,-59.35,0.00,3.18,,-56.63,-30.59
289,36,34.37,121,9.55,1123.0,979739.84,-22.28,-60.58,0.00,3.35,,-57.69,-31.57
290,36,34.39,121,9.47,1150.0,979737.67,-21.93,-61.15,0.00,3.27,,-58.35,-32.19
291,36,34.42,121,9.39,1180.0,979737.76,-19.07,-59.31,0.00,3.30,,-56.49,-30.29
292,36,34.40,121,9.31,1136.0,979738.02,-22.91,-61.66,0.00,3.78,,-58.34,-32.08
293,36,34.36,121,9.23,1123.0,979738.90,-23.20,-61.50,0.00,3.93,,-58.03,-31.73
294,36,34.32,121,9.16,1127.0,979739.06,-22.61,-61.05,0.00,3.82,,-57.69,-31.35
295,36,34.29,121,9.08,1137.0,979738.50,-22.18,-60.96,0.00,3.64,,-57.79,-31.41
296,36,34.25,121,9.00,1123.0,979738.94,-23.00,-61.31,0.00,3.67,,-58.10,-31.67
297,36,34.24,121,8.91,1132.0,979739.19,-21.89,-60.50,0.00,3.87,,-57.09,-30.61
298,36,34.25,121,8.83,1136.0,979739.03,-21.69,-60.44,0.00,3.95,,-56.95,-30.42
299,36,34.27,121,8.74,1146.0,979738.28,-21.52,-60.61,0.00,4.10,,-56.98,-30.40
300,36,34.27,121,8.65,1146.0,979738.13,-21.67,-60.76,0.00,4.64,,-56.59,-29.95
301,36,34.30,121,8.57,1143.0,979738.31,-21.82,-60.81,0.00,4.65,,-56.62,-29.92
302,36,34.34,121,8.50,1153.0,979737.59,-21.66,-60.98,0.00,4.62,,-56.83,-30.09
303,36,34.36,121,8.42,1178.0,979735.56,-21.37,-61.55,0.00,4.40,,-57.63,-30.84
304,36,34.39,121,8.33,1166.0,979735.69,-22.40,-62.17,0.00,4.66,,-57.99,-31.14
305,36,34.39,121,8.24,1167.0,979735.52,-22.48,-62.28,0.00,4.64,,-58.12,-31.22
306,36,34.39,121,8.15,1172.0,979734.91,-22.62,-62.59,0.00,4.54,,-58.53,-31.58
307,36,34.36,121,8.06,1196.0,979733.76,-21.47,-62.27,0.00,4.05,,-58.70,-31.71
308,36,34.36,121,7.98,1198.0,979727.19,-27.86,-68.72,0.00,3.91,,-65.29,-38.25
309,36,34.40,121,7.91,1160.0,979736.00,-22.67,-62.24,0.00,4.47,,-58.24,-31.15
310,36,34.39,121,7.79,1193.0,979734.19,-21.36,-62.05,0.00,4.38,,-58.16,-31.00
311,36,34.40,121,7.70,1170.0,979735.65,-22.08,-61.99,0.00,5.34,,-57.13,-29.92
320,36,34.19,121,7.00,1780.0,979700.74,0.67,-60.04,0.00,2.86,,-57.87,-30.43
321,36,34.13,121,6.95,1786.0,979699.88,0.47,-60.45,0.00,2.79,,-58.35,-30.89
322,36,34.06,121,6.92,1786.0,979699.94,0.62,-60.29,0.00,2.76,,-58.23,-30.76
323,36,34.04,121,6.84,1811.0,979698.32,1.38,-60.38,0.00,2.81,,-58.27,-30.77
324,36,34.00,121,6.76,1837.0,979696.51,2.08,-60.57,0.00,2.71,,-58.57,-31.02
325,36,33.94,121,6.70,1881.0,979695.02,4.82,-59.34,0.00,2.75,,-57.31,-29.74
326,36,33.89,121,6.65,1933.0,979690.54,5.30,-60.63,0.00,2.89,,-58.48,-30.91
327,36,33.83,121,6.58,1972.0,979688.61,7.12,-60.14,0.00,2.95,,-57.94,-30.35
328,36,33.77,121,6.52,2019.0,979685.90,8.92,-59.95,0.00,3.03,,-57.68,-30.08
329,36,33.73,121,6.46,2044.0,979683.88,9.30,-60.41,0.00,3.08,,-58.11,-30.48
330,36,33.70,121,6.38,2074.0,979681.78,10.07,-60.67,0.00,3.44,,-58.01,-30.35
331,36,33.68,121,6.29,2091.0,979681.01,10.93,-60.39,0.00,3.51,,-57.67,-29.97
332,36,33.67,121,6.21,2081.0,979681.69,10.68,-60.30,0.00,3.53,,-57.56,-29.82
333,36,33.72,121,6.16,2133.0,979679.99,13.80,-58.95,0.00,4.17,,-55.59,-27.83
334,36,33.79,121,6.13,2175.0,979675.83,13.48,-60.70,0.00,3.69,,-57.82,-30.05
335,36,33.86,121,6.13,2220.0,979672.21,14.00,-61.72,0.00,3.86,,-58.69,-30.93
336,36,33.89,121,6.06,2254.0,979670.20,15.14,-61.73,0.00,3.94,,-58.63,-30.82
337,36,33.88,121,5.99,2287.0,979668.48,16.54,-61.46,0.00,4.10,,-58.21,-30.38
338,36,33.86,121,5.90,2331.0,979666.47,18.69,-60.81,0.00,4.32,,-57.35,-29.48
339,36,33.86,121,5.81,2384.0,979663.40,20.61,-60.71,0.00,4.91,,-56.67,-28.77
340,36,33.91,121,5.75,2433.0,979660.25,21.99,-60.99,0.00,5.68,,-56.20,-28.27
341,36,33.94,121,5.67,2484.0,979655.92,22.42,-62.30,0.00,6.22,,-56.99,-29.03
342,36,33.97,121,5.60,2525.0,979653.59,23.90,-62.22,0.00,6.79,,-56.35,-28.36
343,36,34.03,121,5.54,2582.0,979650.21,25.79,-62.27,0.00,6.06,,-57.15,-29.14
344,36,34.07,121,5.47,2681.0,979643.15,27.99,-63.45,0.00,7.26,,-57.15,-29.12
345,36,34.11,121,5.40,2667.0,979645.39,28.85,-62.12,0.00,6.60,,-56.47,-28.39
346,36,34.14,121,5.31,2674.0,979645.01,29.09,-62.11,0.00,5.97,,-57.10,-28.98
347,36,34.14,121,5.23,2677.0,979645.24,29.60,-61.71,0.00,5.81,,-56.85,-28.69
348,36,34.14,121,5.15,2672.0,979646.50,30.39,-60.74,0.00,5.37,,-56.33,-28.11
349,36,34.17,121,5.07,2678.0,979646.60,31.00,-60.33,0.00,4.84,,-56.45,-28.19
350,36,34.16,121,4.98,2656.0,979647.51,29.86,-60.73,0.00,4.20,,-57.48,-29.17
351,36,34.16,121,4.90,2664.0,979647.59,30.70,-60.17,0.00,3.99,,-57.13,-28.79
352,36,34.15,121,4.81,2656.0,979647.19,29.56,-61.03,0.00,3.70,,-58.28,-29.89
353,36,34.12,121,4.73,2609.0,979650.02,28.01,-60.98,0.00,3.32,,-58.60,-30.16
354,36,34.11,121,4.65,2593.0,979651.68,28.18,-60.26,0.00,3.22,,-57.98,-29.50
355,36,34.11,121,4.56,2555.0,979654.08,27.01,-60.14,0.00,3.17,,-57.89,-29.36
356,36,34.09,121,4.48,2492.0,979658.06,25.09,-59.90,0.00,3.46,,-57.35,-28.76
357,36,34.14,121,4.48,2436.0,979661.97,23.67,-59.42,0.00,4.03,,-56.28,-27.67
B10,36,56.15,121,27.77,161.7,979849.12,-34.87,-40.39,0.00,0.82,,-39.64,-26.42
B11,36,56.19,121,27.68,163.7,979848.77,-35.09,-40.67,0.00,0.81,,-39.94,-26.66
B12,36,56.22,121,27.58,165.2,979848.37,-35.39,-41.03,0.00,0.82,,-40.28,-26.91
B13,36,56.25,121,27.48,165.3,979848.16,-35.64,-41.28,0.00,0.81,,-40.54,-27.09
B14,36,56.28,121,27.40,165.9,979847.92,-35.86,-41.52,0.00,0.82,,-40.78,-27.27
B15,36,56.32,121,27.30,166.9,979847.75,-36.00,-41.69,0.00,0.82,,-40.94,-27.35
B16,36,56.35,121,27.21,165.9,979847.73,-36.16,-41.81,0.00,0.82,,-41.07,-27.39
B17,36,56.39,121,27.11,165.5,979847.73,-36.25,-41.90,0.00,0.81,,-41.16,-27.39
B18,36,56.42,121,27.02,164.0,979847.86,-36.31,-41.90,0.00,0.82,,-41.15,-27.30
B19,36,56.45,121,26.93,162.4,979848.00,-36.36,-41.90,0.00,0.82,,-41.15,-27.23
B20,36,56.49,121,26.84,160.4,979848.24,-36.37,-41.84,0.00,0.83,,-41.08,-27.07
B21,36,56.52,121,26.73,160.4,979848.47,-36.18,-41.65,0.00,0.84,,-40.88,-26.79
B22,36,56.55,121,26.65,160.5,979848.80,-35.88,-41.36,0.00,0.85,,-40.58,-26.43
B23,36,56.58,121,26.55,158.6,979849.06,-35.85,-41.25,0.00,0.84,,-40.48,-26.26
B24,36,56.62,121,26.45,157.8,979849.49,-35.55,-40.93,0.00,0.85,,-40.15,-25.84
B25,36,56.65,121,26.36,158.2,979849.78,-35.26,-40.66,0.00,0.85,,-39.88,-25.49
EQ1,36,45.62,121,29.41,2886.0,979687.62,75.06,-23.37,2.65,12.54,D,-11.84,-2.05
EQ2,36,45.93,121,28.90,2714.0,979698.20,69.02,-23.54,0.95,9.13,D,-15.38,-5.04
EQ2,36,45.93,121,28.90,2714.0,979698.20,69.02,-23.54,0.95,9.13,D,-15.38,-5.04
EQ4,36,46.60,121,28.21,2424.0,979708.56,51.14,-31.53,1.65,9.27,D,-23.15,-12.06
EQ6,36,47.09,121,27.91,1987.0,979731.75,32.53,-35.24,2.34,7.94,D,-28.05,-16.59
EQ7,36,47.77,121,26.76,1396.0,979749.15,-6.63,-54.24,3.07,6.82,D,-47.98,-35.37
EQ8,36,56.76,121,16.43,1657.0,979767.54,23.30,-33.21,0.47,2.78,D,-31.08,-11.01
EQ9,36,56.81,121,15.24,1876.0,979752.97,29.26,-34.73,0.25,2.55,D,-32.90,-12.34
M10,36,40.30,121,46.89,149.0,979833.61,-28.67,-33.75,0.01,1.93,D,-31.88,-44.35
B101,36,56.53,121,26.26,161.1,979849.23,-35.37,-40.86,0.00,0.84,,-40.09,-25.68
B102,36,56.81,121,25.53,166.0,979851.63,-32.91,-38.57,0.00,0.89,,-37.76,-22.76
B103,36,57.07,121,25.61,169.0,979852.83,-31.81,-37.57,0.00,0.91,,-36.73,-21.71
B104,36,56.93,121,25.57,168.1,979852.03,-32.49,-38.22,0.00,0.90,,-37.40,-22.41
B105,36,57.90,121,25.86,154.0,979859.21,-28.04,-33.29,0.00,1.07,,-32.29,-17.17
B106,36,58.26,121,25.08,181.0,979861.88,-23.35,-29.52,0.64,1.81,,-27.79,-12.05
B107,36,57.22,121,24.86,178.0,979856.61,-27.40,-33.47,0.00,0.96,,-32.59,-17.05
B108,36,56.78,121,24.71,186.0,979853.06,-29.56,-35.90,0.00,0.90,,-35.08,-19.56
B109,36,56.45,121,24.60,187.0,979851.25,-30.80,-37.17,0.00,0.87,,-36.39,-20.87
B110,36,56.49,121,25.85,164.0,979849.28,-34.99,-40.58,0.00,0.84,,-39.81,-25.13
B111,36,56.81,121,25.90,159.0,979851.12,-34.08,-39.50,0.00,0.88,,-38.69,-23.94
B112,36,56.59,121,27.67,159.0,979849.78,-35.10,-40.52,0.00,0.83,,-39.77,-26.35
B113,36,57.13,121,28.42,149.0,979854.42,-32.18,-37.27,0.00,0.85,,-36.48,-23.39
B114,36,57.59,121,29.14,147.0,979858.64,-28.82,-33.83,0.00,0.87,,-33.03,-20.27
B115,36,58.70,121,30.45,145.0,979869.30,-19.95,-24.90,0.00,0.93,,-24.03,-11.67
B116,36,59.64,121,29.83,168.0,979867.79,-20.66,-26.39,0.00,1.11,,-25.36,-12.10
B117,36,59.00,121,28.05,175.0,979858.36,-28.51,-34.47,0.00,1.16,,-33.39,-19.26
B118,36,58.09,121,24.68,212.0,979859.04,-23.03,-30.26,1.26,2.37,,-27.98,-12.03
B119,36,57.66,121,23.90,436.0,979843.91,-16.47,-31.34,0.00,0.92,,-30.60,-14.34
B120,36,58.11,121,22.99,246.0,979855.71,-23.19,-31.58,0.62,1.80,,-29.89,-12.93
B121,36,58.89,121,22.68,258.0,979856.29,-22.61,-31.41,0.00,1.36,,-30.16,-12.81
B122,36,59.72,121,22.66,278.0,979857.41,-20.81,-30.29,0.00,1.59,,-28.82,-11.23
B123,36,59.53,121,22.77,269.0,979857.12,-21.67,-30.85,0.00,1.53,,-29.43,-11.94
B124,36,55.89,121,23.07,211.0,979850.21,-28.77,-35.96,0.00,0.94,,-35.12,-18.70
B125,36,57.08,121,22.10,243.0,979852.41,-25.28,-33.57,0.34,1.50,,-32.17,-14.92
B126,36,56.35,121,22.40,223.0,979852.36,-26.15,-33.76,0.00,1.07,,-32.79,-15.85
B127,36,56.23,121,23.95,194.0,979851.32,-29.75,-36.37,0.00,0.90,,-35.55,-19.64
B128,36,56.06,121,25.44,170.0,979847.32,-35.76,-41.56,0.00,0.83,,-40.80,-25.94
B129,36,55.53,121,26.34,176.0,979844.07,-37.68,-43.68,0.00,0.80,,-42.96,-28.88
B130,36,55.13,121,26.96,178.0,979843.17,-37.81,-43.88,0.00,0.80,,-43.16,-29.65
B131,36,54.47,121,26.28,198.0,979839.14,-39.01,-45.76,0.00,0.79,,-45.06,-31.21
B132,36,54.04,121,25.87,213.0,979836.99,-39.12,-46.39,0.00,0.79,,-45.69,-31.62
B133,36,53.89,121,27.19,204.0,979839.60,-37.14,-44.10,0.00,0.82,,-43.37,-30.33
B134,36,54.07,121,27.55,196.0,979841.75,-36.00,-42.69,0.00,0.84,,-41.94,-29.15
B135,36,53.99,121,28.06,194.0,979843.86,-33.97,-40.58,0.00,0.85,,-39.82,-27.45
B136,36,53.46,121,25.30,234.0,979835.11,-38.19,-46.17,0.00,0.81,,-45.46,-31.05
B137,36,52.93,121,24.86,246.0,979832.32,-39.08,-47.47,0.00,0.82,,-46.76,-32.09
B138,36,52.68,121,24.47,247.0,979831.20,-39.75,-48.17,0.00,0.84,,-47.44,-32.49
B139,36,52.19,121,24.50,256.0,979828.99,-40.40,-49.13,0.00,0.86,,-48.38,-33.50
B140,36,52.23,121,26.00,274.1,979827.32,-40.43,-49.78,0.00,0.83,,-49.07,-35.37
B140,36,52.25,121,26.00,272.2,979827.32,-40.63,-49.92,0.06,0.93,D,-49.11,-35.41
B141,36,51.82,121,26.55,264.0,979827.03,-41.07,-50.08,0.00,0.87,,-49.32,-36.14
B142,36,51.49,121,26.05,273.0,979824.94,-41.84,-51.15,0.00,0.89,,-50.38,-36.82
B143,36,51.45,121,25.17,274.0,979824.75,-41.88,-51.22,0.00,0.88,,-50.46,-36.19
B144,36,51.43,121,24.82,281.0,979825.17,-40.77,-50.35,0.00,0.88,,-49.60,-35.05
B145,36,51.86,121,24.01,269.0,979826.95,-40.74,-49.92,0.00,0.88,,-49.15,-33.93
B146,36,52.49,121,23.96,249.0,979830.36,-40.12,-48.62,0.00,0.86,,-47.87,-32.55
B147,36,53.35,121,24.00,228.0,979835.21,-38.49,-46.27,0.00,0.85,,-45.52,-30.14
B148,36,55.49,121,24.33,182.0,979845.96,-35.17,-41.37,0.00,0.84,,-40.61,-25.11
B149,36,54.98,121,25.42,184.0,979841.76,-38.44,-44.72,0.00,0.80,,-44.00,-29.40
B150,36,55.17,121,24.87,182.0,979843.25,-37.41,-43.62,0.00,0.81,,-42.89,-27.84
B151,36,55.19,121,24.28,192.0,979844.36,-35.39,-41.94,0.00,0.83,,-41.19,-25.72
B152,36,53.21,121,22.80,241.0,979836.05,-36.23,-44.45,0.00,0.91,,-43.64,-27.40
B153,36,53.64,121,23.02,226.0,979838.26,-36.05,-43.76,0.00,0.90,,-42.96,-26.83
B154,36,54.66,121,22.76,207.0,979844.42,-33.15,-40.21,0.00,0.94,,-39.36,-22.93
B155,36,54.13,121,21.75,237.0,979842.25,-31.74,-39.82,0.00,1.06,,-38.86,-21.80
B156,36,53.63,121,21.75,251.0,979839.50,-32.44,-41.01,0.00,1.03,,-40.09,-23.08
B157,36,52.54,121,21.21,307.0,979833.81,-31.29,-41.76,0.00,1.06,,-40.84,-23.48
B158,36,52.79,121,20.65,357.0,979832.79,-27.97,-40.15,0.00,1.13,,-39.17,-21.42
B159,36,53.63,121,20.65,336.0,979835.83,-28.12,-39.58,0.00,1.21,,-38.52,-20.74
B160,36,53.63,121,20.14,351.0,979835.91,-26.63,-38.60,0.00,1.36,,-37.39,-19.27
B161,36,53.90,121,21.21,280.0,979839.32,-30.29,-39.84,0.00,1.12,,-38.84,-21.41
B162,36,54.02,121,21.00,297.0,979838.62,-29.56,-39.69,0.00,1.16,,-38.66,-21.09
B163,36,54.31,121,21.21,281.0,979840.78,-29.33,-38.91,0.00,1.14,,-37.89,-20.42
B164,36,54.39,121,21.00,279.0,979841.25,-29.16,-38.68,0.00,1.20,,-37.60,-20.00
B165,36,54.66,121,21.12,272.0,979842.80,-28.66,-37.94,0.00,1.19,,-36.87,-19.31
B166,36,54.94,121,21.24,248.0,979845.01,-29.11,-37.57,0.00,1.21,,-36.47,-18.98
B167,36,54.69,121,21.96,225.0,979845.26,-30.66,-38.34,0.00,1.05,,-37.39,-20.41
B168,36,55.22,121,22.25,220.0,979847.38,-29.78,-37.28,0.00,1.02,,-36.36,-19.50
B169,36,55.53,121,22.62,227.0,979848.20,-28.75,-36.49,0.00,0.97,,-35.62,-18.96
B170,36,56.39,121,20.84,374.0,979844.18,-20.19,-32.95,0.47,1.68,,-31.43,-13.52
B171,36,55.96,121,21.69,299.0,979846.75,-24.05,-34.25,0.00,1.09,,-33.29,-15.97
B172,36,55.05,121,22.77,209.0,979846.57,-31.38,-38.51,0.00,0.95,,-37.65,-21.17
B173,36,55.99,121,23.23,208.0,979850.87,-28.53,-35.63,0.00,0.93,,-34.79,-18.45
B174,36,55.43,121,23.35,203.0,979847.62,-31.44,-38.37,0.00,0.90,,-37.56,-21.41
B175,36,55.01,121,23.46,200.0,979844.93,-33.81,-40.63,0.00,0.88,,-39.84,-23.84
B176,36,54.19,121,24.13,210.0,979839.05,-37.56,-44.72,0.00,0.84,,-43.98,-28.57
B177,36,57.01,121,26.98,150.0,979850.28,-36.06,-41.17,0.00,0.87,,-40.37,-26.29
B178,36,57.35,121,27.37,151.0,979850.51,-36.22,-41.37,0.00,0.89,,-40.55,-26.62
B179,36,58.23,121,27.87,147.0,979855.55,-32.83,-37.85,0.00,1.00,,-36.91,-23.00
B180,36,58.29,121,26.68,143.0,979859.23,-29.62,-34.50,0.00,1.14,,-33.42,-18.69
B181,36,53.92,121,24.71,209.0,979837.66,-38.65,-45.78,0.00,0.82,,-45.06,-30.14
B182,36,51.23,121,26.64,243.0,979826.39,-42.84,-51.12,0.00,0.93,,-50.30,-37.23
B183,36,50.74,121,26.94,259.0,979824.11,-42.90,-51.74,0.00,1.02,,-50.83,-38.05
B184,36,50.66,121,27.33,252.0,979824.90,-42.65,-51.25,0.08,1.14,,-50.22,-37.79
B185,36,50.51,121,28.27,228.0,979825.61,-43.99,-51.76,0.00,1.17,,-50.69,-39.09
B186,36,50.50,121,28.72,221.0,979826.53,-43.71,-51.25,0.00,1.19,,-50.15,-38.94
B187,36,49.82,121,28.70,223.0,979826.76,-42.31,-49.91,0.00,1.47,,-48.54,-37.38
B188,36,50.52,121,27.86,234.0,979825.17,-43.88,-51.86,0.00,1.13,,-50.83,-38.88
B189,36,50.50,121,29.37,213.0,979828.56,-42.43,-49.70,0.00,1.24,,-48.55,-37.91
B190,36,50.49,121,30.46,201.0,979833.38,-38.73,-45.58,0.00,1.29,,-44.38,-34.72
B191,36,50.36,121,31.43,198.0,979842.16,-30.04,-36.79,0.00,1.36,,-35.52,-26.77
B192,36,50.36,121,31.87,216.0,979848.50,-22.01,-29.37,0.00,1.34,,-28.13,-19.80
B193,36,49.86,121,31.75,250.0,979848.69,-17.90,-26.42,0.00,1.48,,-25.05,-16.70
B194,36,49.99,121,32.94,392.0,979847.85,-5.57,-18.94,0.82,2.06,,-17.05,-9.83
B195,36,50.83,121,32.94,200.0,979860.05,-12.64,-19.46,0.32,1.55,,-18.00,-10.55
B196,36,51.42,121,32.78,170.0,979850.43,-25.94,-31.74,0.00,1.13,,-30.68,-22.94
B197,36,51.65,121,32.36,171.0,979842.52,-34.09,-39.92,0.00,1.09,,-38.90,-30.72
B198,36,51.42,121,31.56,182.0,979837.07,-38.17,-44.38,0.00,1.11,,-43.35,-34.52
B199,36,51.37,121,30.47,199.0,979832.44,-41.13,-47.91,0.00,1.09,,-46.91,-37.10
B200,36,51.14,121,29.94,209.0,979830.39,-41.90,-49.03,0.00,1.10,,-48.02,-37.79
B201,36,51.38,121,29.37,222.0,979828.57,-42.85,-50.42,0.00,1.01,,-49.51,-38.75
B202,36,50.93,121,29.37,215.0,979828.52,-42.91,-50.24,0.00,1.12,,-49.21,-38.51
B203,36,50.94,121,28.28,229.0,979826.43,-43.69,-51.50,0.00,1.06,,-50.54,-38.91
B204,36,50.94,121,27.55,244.0,979825.72,-42.99,-51.31,0.00,1.02,,-50.40,-38.14
B205,36,51.32,121,27.29,235.0,979827.20,-42.91,-50.92,0.00,0.96,,-50.07,-37.51
B206,36,50.13,121,26.66,321.1,979819.25,-41.04,-51.99,0.31,1.39,F,-50.74,-37.79
B207,36,50.03,121,26.28,345.0,979816.79,-41.11,-52.87,0.34,1.41,,-51.61,-38.35
B208,36,49.48,121,25.57,321.0,979816.37,-42.99,-53.94,0.34,1.55,,-52.53,-38.68
B209,36,50.54,121,25.54,287.0,979821.63,-42.46,-52.25,0.15,1.13,,-51.24,-37.31
B210,36,53.73,121,26.73,212.0,979836.88,-38.88,-46.11,0.00,0.81,,-45.39,-32.03
B211,36,53.02,121,25.82,233.0,979832.24,-40.52,-48.46,0.00,0.81,,-47.75,-33.80
B212,36,54.52,121,27.67,178.0,979844.30,-35.80,-41.87,0.00,0.83,,-41.12,-28.30
B213,36,54.46,121,28.72,197.0,979847.98,-30.25,-36.96,0.00,0.84,,-36.21,-24.23
B214,36,54.81,121,29.07,181.0,979851.74,-28.50,-34.67,0.00,0.85,,-33.90,-22.09
B215,36,55.07,121,28.35,174.0,979849.03,-32.24,-38.18,0.00,0.82,,-37.43,-24.98
B216,36,55.59,121,28.96,160.0,979854.35,-28.99,-34.45,0.00,0.84,,-33.68,-21.52
B217,36,56.12,121,29.66,148.0,979860.35,-24.89,-29.93,0.00,0.84,,-29.16,-17.34
B218,36,56.33,121,30.62,145.0,979867.23,-18.59,-23.54,0.00,0.85,,-22.75,-11.58
B219,36,51.33,121,24.06,283.0,979825.16,-40.45,-50.10,0.02,0.92,,-49.30,-34.13
B219,36,51.33,121,24.06,283.0,979825.16,-40.45,-50.10,0.02,0.92,,-49.30,-34.13
B220,36,50.42,121,24.73,292.0,979822.00,-41.45,-51.40,0.00,0.98,,-50.55,-35.97
B221,36,50.09,121,25.25,281.0,979820.48,-43.52,-53.11,0.00,1.06,,-52.17,-38.03
B222,36,49.69,121,25.06,300.0,979818.35,-43.29,-53.52,0.00,1.12,,-52.53,-38.25
B223,36,49.45,121,24.33,306.0,979819.89,-40.84,-51.27,0.00,1.13,,-50.28,-35.38
B224,36,49.26,121,23.87,309.0,979820.95,-39.22,-49.76,0.00,1.15,,-48.74,-33.47
B225,36,48.57,121,23.76,353.0,979817.27,-37.76,-49.80,0.36,1.64,,-48.32,-32.96
B226,36,48.82,121,23.62,331.0,979819.01,-38.45,-49.74,0.00,1.21,,-48.68,-33.22
B227,36,48.62,121,23.33,331.0,979818.78,-38.39,-49.68,0.00,1.24,,-48.59,-32.87
B228,36,49.17,121,23.22,344.0,979819.46,-37.29,-49.02,0.00,1.11,,-48.06,-32.26
B228,36,49.18,121,23.22,343.2,979819.38,-37.46,-49.16,0.02,1.19,D,-48.12,-32.31
B229,36,49.41,121,23.22,323.0,979820.97,-38.10,-49.12,0.00,1.09,,-48.17,-32.37
B230,36,49.41,121,22.99,341.0,979819.72,-37.66,-49.29,0.00,1.07,,-48.36,-32.37
B231,36,49.62,121,23.21,331.0,979820.37,-38.25,-49.54,0.00,1.05,,-48.63,-32.83
B232,36,49.81,121,23.21,328.0,979820.40,-38.78,-49.96,0.00,1.02,,-49.09,-33.29
B233,36,50.16,121,23.51,317.0,979821.39,-39.33,-50.14,0.00,0.99,,-49.29,-33.72
B234,36,50.38,121,23.50,311.0,979821.82,-39.78,-50.39,0.00,0.97,,-49.55,-33.97
B235,36,50.38,121,23.96,302.8,979822.56,-39.81,-50.14,0.00,0.97,,-49.30,-34.09
B236,36,50.01,121,23.99,310.0,979821.63,-39.53,-50.10,0.00,1.01,,-49.23,-34.06
B237,36,49.17,121,22.18,436.0,979815.38,-32.71,-47.58,0.00,1.03,,-46.74,-30.12
B238,36,48.99,121,21.75,464.0,979814.34,-30.86,-46.69,0.00,1.03,,-45.86,-28.90
B239,36,48.57,121,20.67,516.0,979816.13,-23.57,-41.17,0.00,1.05,,-40.34,-22.52
B240,36,47.85,121,19.81,519.0,979817.31,-21.07,-38.77,0.00,1.13,,-37.86,-19.32
B241,36,47.57,121,19.42,519.0,979817.24,-20.73,-38.44,0.00,1.17,,-37.49,-18.62
B242,36,45.92,121,17.92,528.0,979811.12,-23.62,-41.63,0.00,1.38,,-40.48,-20.31
B243,36,45.61,121,17.66,587.0,979806.18,-22.57,-42.59,0.00,1.35,,-41.49,-21.11
B244,36,47.37,121,20.48,428.0,979818.88,-27.36,-41.96,0.00,1.26,,-40.89,-22.81
B245,36,47.12,121,21.46,408.0,979813.80,-33.96,-47.88,0.00,1.39,,-46.67,-29.34
B245,36,47.13,121,21.46,408.0,979813.61,-34.17,-48.08,0.01,1.70,D,-46.56,-29.24
B246,36,48.14,121,21.88,399.0,979816.74,-33.34,-46.95,0.00,1.19,,-45.94,-29.02
B247,36,48.62,121,22.68,349.0,979818.82,-36.66,-48.56,0.60,1.78,,-46.94,-30.70
B247,36,48.62,121,22.68,349.0,979818.82,-36.66,-48.56,0.60,1.78,,-46.94,-30.70
B248,36,48.05,121,24.43,435.0,979809.23,-37.34,-52.18,0.48,1.91,,-50.45,-35.65
B249,36,47.81,121,24.48,472.0,979806.25,-36.49,-52.59,0.56,2.04,,-50.75,-35.99
B250,36,47.14,121,24.23,806.0,979785.09,-25.27,-52.76,0.63,2.10,,-51.00,-36.07
B251,36,46.77,121,24.17,723.0,979790.76,-26.87,-51.53,0.86,2.50,,-49.33,-34.30
B252,36,46.64,121,25.70,1063.0,979778.46,-7.00,-43.26,0.95,2.83,,-40.87,-27.25
B253,36,52.11,121,22.71,271.0,979830.40,-37.46,-46.71,0.00,0.93,,-45.90,-29.65
B254,36,52.10,121,21.77,296.0,979831.52,-33.98,-44.07,0.00,1.00,,-43.20,-26.26
B255,36,52.53,121,21.76,279.0,979834.05,-33.67,-43.19,0.00,1.01,,-42.30,-25.34
B256,36,51.66,121,21.75,312.0,979829.47,-33.89,-44.53,0.00,0.99,,-43.67,-26.73
B257,36,51.31,121,21.76,330.0,979828.00,-33.16,-44.41,0.00,0.98,,-43.58,-26.66
B258,36,51.32,121,22.41,309.0,979826.96,-36.19,-46.73,0.00,0.96,,-45.90,-29.48
